timestamp,title,category,source,priority_score,legitimacy_score,risk_level,value_category,estimated_value_range,confidence_level,recommendation,url,key_insights,red_flags,green_flags
2025-09-03T13:09:55.754046+00:00,Bitcoin-Eco,Ai,GitHub_Crypto_Repos (API),4,75,,,,0.7,"RECOMMENDED: High priority, low risk. Proceed with standard verification.",https://api.github.com/repos/btceco/Bitcoin-Eco,Token Distribution,,
2025-09-03T13:09:55.754110+00:00,nodego-bot,Ai,GitHub_Crypto_Repos (API),4,75,,,,0.7,"RECOMMENDED: High priority, low risk. Proceed with standard verification.",https://api.github.com/repos/GARHY656/nodego-bot,Token Distribution; Staking Rewards,,
2025-09-03T13:09:55.754134+00:00,Units-Network-Airdrop-bot,Ai,GitHub_Crypto_Repos (API),3,70,,,,0.7,CONSIDER: Moderate opportunity. Research team and tokenomics thoroughly.,https://api.github.com/repos/frankrichardhall/Units-Network-Airdrop-bot,Token Distribution; Testnet Activity,,
2025-09-03T13:09:55.754144+00:00,Trailblazers-Taiko-Airdrop-bot,Ai,GitHub_Crypto_Repos (API),3,75,,,,0.7,CONSIDER: Moderate opportunity. Research team and tokenomics thoroughly.,https://api.github.com/repos/frankrichardhall/Trailblazers-Taiko-Airdrop-bot,Token Distribution; Staking Rewards,,
2025-09-03T13:09:55.754153+00:00,TEA-Testnet-Airdrop-bot,Layer1,GitHub_Crypto_Repos (API),4,80,,,,0.75,CONSIDER: Moderate opportunity. Research team and tokenomics thoroughly.,https://api.github.com/repos/frankrichardhall/TEA-Testnet-Airdrop-bot,Token Distribution; Testnet Activity; Staking Rewards,,
2025-09-03T13:09:55.754162+00:00,Rise-Chain-Airdrop-bot,Ai,GitHub_Crypto_Repos (API),3,80,,,,0.7,CONSIDER: Moderate opportunity. Research team and tokenomics thoroughly.,https://api.github.com/repos/frankrichardhall/Rise-Chain-Airdrop-bot,Token Distribution; Testnet Activity,,
2025-09-03T13:09:55.754176+00:00,Swisstronik-ERC721,Gamefi,GitHub_Crypto_Repos (API),3,70,,,,0.7,CONSIDER: Moderate opportunity. Research team and tokenomics thoroughly.,https://api.github.com/repos/frankrichardhall/Swisstronik-ERC721,Testnet Activity,,
2025-09-03T13:09:55.754184+00:00,T3rn-Airdrop-bot,Ai,GitHub_Crypto_Repos (API),3,80,,,,0.7,CONSIDER: Moderate opportunity. Research team and tokenomics thoroughly.,https://api.github.com/repos/frankrichardhall/T3rn-Airdrop-bot,Token Distribution; Testnet Activity,,
2025-09-03T13:09:55.754194+00:00,Sowing-Taker-Farming-Airdrop-bot,Ai,GitHub_Crypto_Repos (API),3,75,,,,0.75,CONSIDER: Moderate opportunity. Research team and tokenomics thoroughly.,https://api.github.com/repos/frankrichardhall/Sowing-Taker-Farming-Airdrop-bot,Token Distribution,,
2025-09-03T13:09:55.754233+00:00,Nillion-Airdrop-bot,Ai,GitHub_Crypto_Repos (API),3,70,,,,0.5,CONSIDER: Moderate opportunity. Research team and tokenomics thoroughly.,https://api.github.com/repos/frankrichardhall/Nillion-Airdrop-bot,Token Distribution; Testnet Activity,,
